IP;BAN_DATE;UNBAN_DATE;REASON
5.8.37.218;1480175823;1482767824;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.222;1481298363;1483890363;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.224;1481147104;1483739104;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.232;1480135924;1482727924;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.235;1481088303;1483680304;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.241;1480702923;1483294924;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.244;1480812031;1483404032;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.246;1480490463;1483082464;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.249;1480900384;1483492385;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.9.21.5;1482421442;1483026243;"Брутфорс атака на сайт remont-tv.biz.ua/Brute force attack on site remont-tv.biz.ua"
5.10.19.111;1480315382;1482907384;"Паразитный трафик на сайт vshutku.ru / Parasite traffic on site vshutku.ru"
5.10.105.41;1480543322;1483135324;"Паразитный трафик на сайт ovsianikoff.com / Parasite traffic on site ovsianikoff.com"
5.11.67.110;1482427862;1482514266;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
5.12.7.167;1482445623;1482532029;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
5.12.136.26;1482445623;1482532029;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
5.13.253.100;1482431882;1482518286;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
5.15.20.160;1482449103;1482535511;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
5.15.61.117;1482431885;1482518287;"Брутфорс атака на сайт 22-22.org/Brute force attack on site 22-22.org"
5.15.242.69;1482438782;1482525186;"Брутфорс атака на сайт terratel.org/Brute force attack on site terratel.org"
5.17.179.10;1480090083;1482682083;"Брутфорс атака на сайт uber24.support/Brute force attack on site uber24.support"
5.18.68.115;1482414122;1482500523;"Брутфорс атака на сайт sobkivka-nvk.info/Brute force attack on site sobkivka-nvk.info"
5.18.77.31;1482454802;1482541203;"Брутфорс атака на сайт q-l-n.com/Brute force attack on site q-l-n.com"
5.18.138.117;1482442562;1482528963;"Брутфорс атака на сайт devion-team.ru/Brute force attack on site devion-team.ru"
5.18.142.126;1482413462;1482499862;"Брутфорс атака на сайт streetsoccerasia.com/Brute force attack on site streetsoccerasia.com"
5.18.176.138;1481996104;1484588104;"Брутфорс атака на сайт studyingeorgiaeu.com/Brute force attack on site studyingeorgiaeu.com"
5.18.177.40;1479925202;1482517206;"Брутфорс атака на сайт omeliash.com/Brute force attack on site omeliash.com"
5.18.183.243;1482443762;1482530166;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
5.18.201.78;1482390722;1482477122;"Брутфорс атака на сайт tov-vgik.com/Brute force attack on site tov-vgik.com"
5.18.206.166;1482267481;1484859482;"Брутфорс атака на сайт bizline.top/Brute force attack on site bizline.top"
5.18.216.197;1479928621;1482520623;"Брутфорс атака на сайт man4woman.ru/Brute force attack on site man4woman.ru"
5.18.224.66;1481931962;1484523962;"Брутфорс атака на сайт bizline.top/Brute force attack on site bizline.top"
5.18.226.193;1482449522;1482535925;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.19.9.201;1480853043;1483445044;"Брутфорс атака на сайт it-lux.net/Brute force attack on site it-lux.net"
5.19.177.251;1482444062;1482530467;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.22.253.10;1482432242;1482518642;"Брутфорс атака на сайт kabeltehinvest.com/Brute force attack on site kabeltehinvest.com"
5.34.108.7;1482395162;1482481563;"Паразитный трафик на сайт firma-dveri.ru / Parasite traffic on site firma-dveri.ru"
5.35.3.157;1482424265;1482510674;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
5.36.3.60;1482420184;1482506587;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.36.122.192;1482432062;1482518466;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.36.162.23;1482424265;1482510674;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
5.39.17.245;1481054835;1483646836;"Паразитный трафик на сайт citation.in.ua / Parasite traffic on site citation.in.ua"
5.39.72.13;1482413462;1482499864;"Брутфорс атака на сайт polishchuk.biz/Brute force attack on site polishchuk.biz"
5.39.94.182;1481621643;1484213646;"Паразитный трафик на сайт viol-stroy.com.ua / Parasite traffic on site viol-stroy.com.ua"
5.43.68.35;1482435724;1482522128;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.43.102.135;1482431882;1482518286;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
